S.NO,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
390,AAPL,09-12-2016 05:30,113.95,114.7,112.31,112.31,34402627,108.2928819,109.0056477,106.7343007,106.7343007,34402627,0,1
391,AAPL,12-12-2016 05:30,113.3,115,112.49,113.29,26374377,107.6751515,109.290754,106.9053645,107.665648,26374377,0,1
392,AAPL,13-12-2016 05:30,115.19,115.92,113.75,113.84,43733811,109.4713213,110.16508,108.102811,108.1883429,43733811,0,1
393,AAPL,14-12-2016 05:30,115.19,116.2,114.98,115.04,34031834,109.4713213,110.4311792,109.2717469,109.3287682,34031834,0,1
394,AAPL,15-12-2016 05:30,115.82,116.73,115.23,115.38,46524544,110.0700446,110.9348671,109.5093355,109.6518887,46524544,0,1
395,AAPL,16-12-2016 05:30,115.97,116.5,115.645,116.47,44351134,110.2125977,110.7162856,109.9037326,110.6877749,44351134,0,1
396,AAPL,19-12-2016 05:30,116.64,117.38,115.75,115.8,27779423,110.8493352,111.5525974,110.0035198,110.0510375,27779423,0,1
397,AAPL,20-12-2016 05:30,116.95,117.5,116.68,116.74,21424965,111.143945,111.6666399,110.8873493,110.9443706,21424965,0,1
398,AAPL,21-12-2016 05:30,117.06,117.4,116.78,116.8,23783165,111.248484,111.5716045,110.9823848,111.0013919,23783165,0,1
399,AAPL,22-12-2016 05:30,116.29,116.51,115.64,116.35,26085854,110.5167111,110.7257891,109.8989808,110.5737324,26085854,0,1
400,AAPL,23-12-2016 05:30,116.52,116.52,115.59,115.59,14249484,110.7352926,110.7352926,109.8514631,109.8514631,14249484,0,1
401,AAPL,27-12-2016 05:30,117.26,117.8,116.49,116.52,18296855,111.4385549,111.9517463,110.706782,110.7352926,18296855,0,1
402,AAPL,28-12-2016 05:30,116.76,118.0166,116.2,117.52,20905892,110.9633777,112.157593,110.4311792,111.685647,20905892,0,1
403,AAPL,29-12-2016 05:30,116.73,117.1095,116.4,116.45,15039519,110.9348671,111.2955266,110.6212501,110.6687678,15039519,0,1
404,AAPL,30-12-2016 05:30,115.82,117.2,115.43,116.65,30586265,110.0700446,111.3815336,109.6994064,110.8588387,30586265,0,1
405,AAPL,03-01-2017 05:30,116.15,116.33,114.76,115.8,28781865,110.3836615,110.5547253,109.0626689,110.0510375,28781865,0,1
406,AAPL,04-01-2017 05:30,116.02,116.51,115.75,115.85,21118116,110.2601155,110.7257891,110.0035198,110.0985552,21118116,0,1
407,AAPL,05-01-2017 05:30,116.61,116.8642,115.81,115.92,22193587,110.8208245,111.0624046,110.060541,110.16508,22193587,0,1
408,AAPL,06-01-2017 05:30,117.91,118.16,116.47,116.78,31751900,112.0562852,112.2938738,110.6877749,110.9823848,31751900,0,1
409,AAPL,09-01-2017 05:30,118.99,119.43,117.94,117.95,33561948,113.082668,113.5008239,112.0847959,112.0942994,33561948,0,1
410,AAPL,10-01-2017 05:30,119.11,119.38,118.3,118.77,24462051,113.1967105,113.4533062,112.4269234,112.87359,24462051,0,1
411,AAPL,11-01-2017 05:30,119.75,119.93,118.6,118.74,27588593,113.8049373,113.9760011,112.7120298,112.8450794,27588593,0,1
412,AAPL,12-01-2017 05:30,119.25,119.3,118.21,118.895,27086220,113.3297601,113.3772778,112.3413916,112.9923843,27086220,0,1
413,AAPL,13-01-2017 05:30,119.04,119.62,118.81,119.11,26111948,113.1301857,113.6813912,112.9116042,113.1967105,26111948,0,1
414,AAPL,17-01-2017 05:30,120,120.24,118.22,118.34,34439843,114.0425259,114.2706109,112.3508951,112.4649376,34439843,0,1
415,AAPL,18-01-2017 05:30,119.99,120.5,119.71,120,23712961,114.0330224,114.5177031,113.7669231,114.0425259,23712961,0,1
416,AAPL,19-01-2017 05:30,119.78,120.09,119.37,119.4,25597291,113.8334479,114.1280578,113.4438026,113.4723133,25597291,0,1
417,AAPL,20-01-2017 05:30,120,120.45,119.7346,120.45,32597892,114.0425259,114.4701854,113.7903018,114.4701854,32597892,0,1
418,AAPL,23-01-2017 05:30,120.08,120.81,119.77,120,22050218,114.1185542,114.8123129,113.8239444,114.0425259,22050218,0,1
419,AAPL,24-01-2017 05:30,119.97,120.1,119.5,119.55,23211038,114.0140153,114.1375613,113.5673487,113.6148664,23211038,0,1
420,AAPL,25-01-2017 05:30,121.88,122.1,120.28,120.42,32586673,115.8291921,116.0382701,114.3086251,114.4416747,32586673,0,1
421,AAPL,26-01-2017 05:30,121.94,122.44,121.6,121.67,26337576,115.8862134,116.3613906,115.5630929,115.6296177,26337576,0,1
422,AAPL,27-01-2017 05:30,121.95,122.35,121.6,122.14,20562944,115.8957169,116.2758587,115.5630929,116.0762843,20562944,0,1
423,AAPL,30-01-2017 05:30,121.63,121.63,120.66,120.93,30377503,115.5916035,115.5916035,114.6697598,114.9263555,30377503,0,1
424,AAPL,31-01-2017 05:30,121.35,121.39,120.62,121.15,49200993,115.3255043,115.3635185,114.6317456,115.1354334,49200993,0,1
425,AAPL,01-02-2017 05:30,128.75,130.49,127.01,127.03,111985040,122.3581267,124.0117434,120.7045101,120.7235172,111985040,0,1
426,AAPL,02-02-2017 05:30,128.53,129.39,127.78,127.975,33710411,122.1490488,122.9663535,121.436283,121.6216021,33710411,0,1
427,AAPL,03-02-2017 05:30,129.08,129.19,128.16,128.31,24507301,122.6717437,122.7762827,121.7974177,121.9399708,24507301,0,1
428,AAPL,06-02-2017 05:30,130.29,130.5,128.9,129.13,26845924,123.8216725,124.0212469,122.5006799,122.7192614,26845924,0,1
429,AAPL,07-02-2017 05:30,131.53,132.09,130.45,130.54,38183841,125.0001119,125.5323104,123.9737292,124.0592611,38183841,0,1
430,AAPL,08-02-2017 05:30,132.04,132.22,131.22,131.35,23004072,125.4847927,125.6558565,124.7055021,124.8290481,23004072,0,1
431,AAPL,09-02-2017 05:30,132.42,132.445,131.12,131.65,28349859,126.3876293,126.4114905,125.1468506,125.6527065,28349859,0.57,1
432,AAPL,10-02-2017 05:30,132.12,132.94,132.05,132.46,20065458,126.1012958,126.8839408,126.0344846,126.4258071,20065458,0,1
433,AAPL,13-02-2017 05:30,133.29,133.82,132.75,133.08,23035421,127.2179966,127.7238526,126.7025962,127.0175631,23035421,0,1
434,AAPL,14-02-2017 05:30,135.02,135.09,133.25,133.47,33226223,128.8691868,128.9359979,127.1798188,127.3897968,33226223,0,1
435,AAPL,15-02-2017 05:30,135.51,136.27,134.62,135.52,35623100,129.3368649,130.0622432,128.4874087,129.3464094,35623100,0,1
436,AAPL,16-02-2017 05:30,135.345,135.9,134.8398,135.67,22584555,129.1793814,129.7090985,128.6971957,129.4895761,22584555,0,1
437,AAPL,17-02-2017 05:30,135.72,135.83,135.1,135.1,22198197,129.5372984,129.6422874,128.9455424,128.9455424,22198197,0,1
438,AAPL,21-02-2017 05:30,136.7,136.75,135.98,136.23,24507156,130.4726547,130.5203769,129.7854541,130.0240654,24507156,0,1
439,AAPL,22-02-2017 05:30,137.11,137.12,136.11,136.43,20836932,130.8639772,130.8735216,129.909532,130.2149545,20836932,0,1
440,AAPL,23-02-2017 05:30,136.53,137.48,136.3,137.38,20788186,130.310399,131.2171219,130.0908766,131.1216774,20788186,0,1
441,AAPL,24-02-2017 05:30,136.66,136.66,135.28,135.91,21776585,130.4344768,130.4344768,129.1173425,129.718643,21776585,0,1
442,AAPL,27-02-2017 05:30,136.93,137.435,136.28,137.14,20257426,130.692177,131.1741719,130.0717877,130.8926105,20257426,0,1
443,AAPL,28-02-2017 05:30,136.99,137.435,136.7,137.08,23482860,130.7494437,131.1741719,130.4726547,130.8353438,23482860,0,1
444,AAPL,01-03-2017 05:30,139.79,140.15,137.595,137.89,36414585,133.4218902,133.7654905,131.3268831,131.6084444,36414585,0,1
445,AAPL,02-03-2017 05:30,138.96,140.2786,138.76,140,26210984,132.6297007,133.8882321,132.4388117,133.6223237,26210984,0,1
446,AAPL,03-03-2017 05:30,139.78,139.83,138.59,138.78,21571121,133.4123458,133.460068,132.276556,132.4579006,21571121,0,1
447,AAPL,06-03-2017 05:30,139.34,139.77,138.5959,139.365,21750044,132.9923899,133.4028013,132.2821872,133.016251,21750044,0,1
448,AAPL,07-03-2017 05:30,139.52,139.98,138.79,139.06,17446297,133.16419,133.6032348,132.4674451,132.7251453,17446297,0,1
449,AAPL,08-03-2017 05:30,139,139.8,138.82,138.95,18707236,132.6678785,133.4314347,132.4960784,132.6201563,18707236,0,1
450,AAPL,09-03-2017 05:30,138.68,138.79,137.05,138.74,22155904,132.3624561,132.4674451,130.8067105,132.4197228,22155904,0,1
451,AAPL,10-03-2017 05:30,139.14,139.3571,138.64,139.25,19612801,132.8015009,133.0087109,132.3242783,132.9064898,19612801,0,1
452,AAPL,13-03-2017 05:30,139.2,139.43,138.82,138.85,17421717,132.8587676,133.07829,132.4960784,132.5247118,17421717,0,1
453,AAPL,14-03-2017 05:30,138.99,139.65,138.84,139.3,15309065,132.6583341,133.2882679,132.5151673,132.9542121,15309065,0,1
454,AAPL,15-03-2017 05:30,140.46,140.7501,139.025,139.41,25691774,134.0613685,134.338253,132.6917397,133.0592011,25691774,0,1
455,AAPL,16-03-2017 05:30,140.69,141.02,140.26,140.72,19231998,134.2808909,134.5958578,133.8704795,134.3095242,19231998,0,1
456,AAPL,17-03-2017 05:30,139.99,141,139.89,141,43884952,133.6127793,134.5767689,133.5173347,134.5767689,43884952,0,1
457,AAPL,20-03-2017 05:30,141.46,141.5,140.23,140.4,21542038,135.0158137,135.0539915,133.8418461,134.0041018,21542038,0,1
458,AAPL,21-03-2017 05:30,139.84,142.8,139.73,142.11,39529912,133.4696125,136.2947702,133.3646235,135.636203,39529912,0,1
459,AAPL,22-03-2017 05:30,141.42,141.6,139.76,139.845,25860165,134.9776359,135.149436,133.3932569,133.4743847,25860165,0,1
460,AAPL,23-03-2017 05:30,140.92,141.5844,140.61,141.26,20346301,134.5004133,135.1345466,134.2045353,134.8249246,20346301,0,1
461,AAPL,24-03-2017 05:30,140.64,141.74,140.35,141.5,22395563,134.2331686,135.2830583,133.9563795,135.0539915,22395563,0,1
462,AAPL,27-03-2017 05:30,140.88,141.22,138.62,139.39,23575094,134.4622355,134.7867468,132.3051894,133.0401122,23575094,0,1
463,AAPL,28-03-2017 05:30,143.8,144.04,140.62,140.91,33374805,137.2492154,137.4782822,134.2140797,134.4908688,33374805,0,1
464,AAPL,29-03-2017 05:30,144.12,144.49,143.19,143.68,29189955,137.5546378,137.9077825,136.6670038,137.1346819,29189955,0,1
465,AAPL,30-03-2017 05:30,143.93,144.5,143.5,144.19,21207252,137.3732932,137.917327,136.9628818,137.621449,21207252,0,1
466,AAPL,31-03-2017 05:30,143.66,144.27,143.01,143.72,19661651,137.115593,137.6978046,136.4952037,137.1728597,19661651,0,1
467,AAPL,03-04-2017 05:30,143.7,144.12,143.05,143.71,19985714,137.1537708,137.5546378,136.5333815,137.1633153,19985714,0,1
468,AAPL,04-04-2017 05:30,144.77,144.89,143.17,143.25,19891354,138.1750272,138.2895606,136.6479149,136.7242705,19891354,0,1
469,AAPL,05-04-2017 05:30,144.02,145.46,143.81,144.22,27717854,137.4591933,138.8335943,137.2587598,137.6500823,27717854,0,1
470,AAPL,06-04-2017 05:30,143.66,144.52,143.45,144.29,21149034,137.115593,137.9364159,136.9151595,137.7168935,21149034,0,1
471,AAPL,07-04-2017 05:30,143.34,144.18,143.27,143.73,16658543,136.8101706,137.6119045,136.7433594,137.1824042,16658543,0,1
472,AAPL,10-04-2017 05:30,143.17,143.8792,142.9,143.6,18933397,136.6479149,137.3248074,136.3902147,137.0583263,18933397,0,1
473,AAPL,11-04-2017 05:30,141.63,143.35,140.06,142.94,30379376,135.1780693,136.819715,133.6795904,136.4283925,30379376,0,1
474,AAPL,12-04-2017 05:30,141.8,142.15,141.01,141.6,20350000,135.340325,135.6743808,134.5863133,135.149436,20350000,0,1
475,AAPL,13-04-2017 05:30,141.05,142.38,141.05,141.91,17822880,134.6244911,135.8939032,134.6244911,135.445314,17822880,0,1
476,AAPL,17-04-2017 05:30,141.83,141.88,140.87,141.48,16582094,135.3689584,135.4166806,134.452691,135.0349026,16582094,0,1
477,AAPL,18-04-2017 05:30,141.2,142.04,141.11,141.41,14697544,134.7676579,135.5693919,134.6817578,134.9680914,14697544,0,1
478,AAPL,19-04-2017 05:30,140.68,142,140.45,141.88,17328375,134.2713464,135.531214,134.051824,135.4166806,17328375,0,1
479,AAPL,20-04-2017 05:30,142.44,142.92,141.16,141.22,23319562,135.9511699,136.4093036,134.7294801,134.7867468,23319562,0,1
480,AAPL,21-04-2017 05:30,142.27,142.68,141.85,142.44,17320928,135.7889142,136.1802368,135.3880473,135.9511699,17320928,0,1
481,AAPL,24-04-2017 05:30,143.64,143.95,143.18,143.5,17116599,137.0965041,137.3923821,136.6574593,136.9628818,17116599,0,1
482,AAPL,25-04-2017 05:30,144.53,144.9,143.87,143.91,18216472,137.9459603,138.299105,137.3160265,137.3542043,18216472,0,1
483,AAPL,26-04-2017 05:30,143.68,144.6,143.3762,144.47,19614287,137.1346819,138.0127715,136.8447215,137.8886936,19614287,0,1
484,AAPL,27-04-2017 05:30,143.79,144.16,143.31,143.9225,13948980,137.2396709,137.5928156,136.7815372,137.3661349,13948980,0,1
485,AAPL,28-04-2017 05:30,143.65,144.3,143.27,144.09,20247187,137.1060486,137.7264379,136.7433594,137.5260045,20247187,0,1
486,AAPL,01-05-2017 05:30,146.58,147.2,144.96,145.1,32818760,139.9025729,140.4943289,138.3563717,138.4899941,32818760,0,1
487,AAPL,02-05-2017 05:30,147.51,148.09,146.84,147.54,39752670,140.7902069,141.3437851,140.1507287,140.8188403,39752670,0,1
488,AAPL,03-05-2017 05:30,147.06,147.49,144.27,145.59,45142806,140.3607066,140.771118,137.6978046,138.9576722,45142806,0,1
